	base	vtage	
tmpRedisclient0_server1_i1_s127.0.0.1_c50_r400000_d8000_ks100000000_p100_tSET-GET-p100_port10001_2C_0_query20000.ckpt.26599,79.06,62.23,
tmpRedisclient0_server1_i1_s127.0.0.1_c50_r400000_d8000_ks100000000_p100_tSET-GET-p100_port10001_2C_17_query190000.ckpt.26599,78.70,62.55,
tmpRedisclient0_server1_i1_s127.0.0.1_c50_r400000_d8000_ks100000000_p100_tSET-GET-p100_port10001_2C_22_query240000.ckpt.26599,78.64,62.74,
tmpRedisclient0_server1_i1_s127.0.0.1_c50_r400000_d8000_ks100000000_p100_tSET-GET-p100_port10001_2C_29_query310000.ckpt.26599,78.02,62.57,
tmpRedisclient0_server1_i1_s127.0.0.1_c50_r400000_d8000_ks100000000_p100_tSET-GET-p100_port10001_2C_34_query360000.ckpt.26599,78.71,62.66,
tmpRedisclient0_server1_i1_s127.0.0.1_c50_r400000_d8000_ks100000000_p1_tSET-GET-p1_port10001_2C_8_query100000.ckpt.26599,84.36,84.90,
tmpRedisclient0_server1_i1_s127.0.0.1_c50_r400000_d8000_ks100000000_p1_tSET-p1_port10001_2C_13_query150000.ckpt.26599,75.78,71.71,
tmpRedisclient0_server1_i1_s127.0.0.1_c50_r400000_d8000_ks100000000_p1_tSET-p1_port10001_2C_18_query200000.ckpt.26599,75.64,71.71,
tmpRedisclient0_server1_i1_s127.0.0.1_c50_r400000_d8000_ks100000000_p1_tSET-p1_port10001_2C_22_query240000.ckpt.26599,74.59,71.75,
tmpRedisclient0_server1_i1_s127.0.0.1_c50_r400000_d8000_ks100000000_p1_tSET-p1_port10001_2C_28_query300000.ckpt.26599,75.81,71.71,
tmpRedisclient0_server1_i1_s127.0.0.1_c50_r400000_d8000_ks100000000_p1_tSET-p1_port10001_2C_31_query330000.ckpt.26599,75.75,71.74,
tmpRedisclient0_server1_i1_s127.0.0.1_c50_r400000_d8000_ks100000000_p1_tSET-p1_port10001_2C_33_query350000.ckpt.26599,75.41,71.78,
tmpRedisclient0_server1_i1_s127.0.0.1_c50_r400000_d8000_ks100000000_p1_tSET-p1_port10001_2C_4_query60000.ckpt.26599,75.73,71.63,
tmpRedisclient0_server1_i1_s127.0.0.1_c50_r400000_d8000_ks100000000_p1_tSET-p1_port10001_2C_7_query90000.ckpt.26599,75.49,71.59,
tmpRedisclient0_server1_i1_s127.0.0.1_c50_r400000_d8000_ks100000000_p1_tSET-p1_port10001_2C_9_query110000.ckpt.26599,75.47,71.66,
tmpselect_random_points_2C_10_query150000.ckpt.29938,65.37,56.51,
tmpselect_random_points_2C_40_query450000.ckpt.29938,64.74,57.93,
tmpselect_random_ranges_2C_10_query150000.ckpt.29938,60.02,46.54,
tmpselect_random_ranges_2C_40_query450000.ckpt.29938,61.33,47.74,
tmpycsb_mongodb_runa_15_txn155100.ckpt.19306,80.65,79.87,
tmpycsb_mongodb_runa_35_txn355100.ckpt.19306,80.58,79.51,
tmpycsb_mongodb_runa_45_txn455100.ckpt.19306,80.52,79.55,
tmpycsb_mongodb_runb_15_txn155100.ckpt.19306,82.43,82.10,
tmpycsb_mongodb_runb_35_txn355100.ckpt.19306,82.16,82.13,
tmpycsb_mongodb_runb_45_txn450100.ckpt.19306,82.33,82.28,
tmpycsb_mongodb_runb_45_txn455100.ckpt.19306,82.15,82.12,
tmpycsb_mongodb_runc_15_txn155100.ckpt.19306,83.58,83.34,
tmpycsb_mongodb_runc_35_txn355100.ckpt.19306,83.54,83.25,
tmpycsb_mongodb_runc_45_txn450100.ckpt.19306,83.61,83.26,
tmpycsb_mongodb_runc_45_txn455100.ckpt.19306,83.67,83.41,
tmpycsb_mongodb_rund_15_txn155100.ckpt.19306,82.43,81.88,
tmpycsb_mongodb_rund_35_txn355100.ckpt.19306,82.46,82.29,
tmpycsb_mongodb_rund_45_txn450100.ckpt.19306,82.37,82.11,
tmpycsb_mongodb_rund_45_txn455100.ckpt.19306,82.71,82.54,
tmpycsb_mongodb_runf_15_txn155100.ckpt.19306,81.63,81.12,
tmpycsb_mongodb_runf_35_txn355100.ckpt.19306,81.67,81.07,
tmpycsb_mongodb_runf_45_txn450100.ckpt.19306,81.81,81.23,
tmpycsb_mongodb_runf_45_txn455100.ckpt.19306,81.59,81.23,

