	vtage	
tmp18-7-runWorkloadA-2-ycsb-300KDB.ckpt_5_txn650000.ckpt.22297,confidencemetrics,5323732,938361,482255,1049318,11624361,319573,80438,71112,,
tmp18-7-runWorkloadA-2-ycsb-300KDB.ckpt_9_txn690000.ckpt.22297,confidencemetrics,5308625,926107,473839,1071564,11602602,312485,80359,70993,,
tmp18-7-runWorkloadB-2-ycsb-300KDB.ckpt_0_txn700000.ckpt.22297,confidencemetrics,5434083,982049,508032,1128513,11272295,298120,76682,70703,,
tmp18-7-runWorkloadB-2-ycsb-300KDB.ckpt_12_txn820000.ckpt.22297,confidencemetrics,5490796,981589,510404,1101651,11244682,296362,76831,71306,,
tmp18-7-runWorkloadB-2-ycsb-300KDB.ckpt_19_txn890000.ckpt.22297,confidencemetrics,5484283,994024,517800,1132258,11169593,296842,76457,72216,,
tmp18-7-runWorkloadB-2-ycsb-300KDB.ckpt_9_txn790000.ckpt.22297,confidencemetrics,5458794,987553,517348,1126937,11209262,296945,76199,72638,,
tmp18-7-runWorkloadC-2-ycsb-300KDB.ckpt_12_txn420000.ckpt.22297,confidencemetrics,5487374,986648,509683,1119150,11253611,302949,76344,69008,,
tmp18-7-runWorkloadC-2-ycsb-300KDB.ckpt_19_txn490000.ckpt.22297,confidencemetrics,5443543,973335,504426,1100001,11316210,301327,74948,68695,,
tmp18-7-runWorkloadC-2-ycsb-300KDB.ckpt_2_txn320000.ckpt.22297,confidencemetrics,5471223,981578,509003,1116873,11259271,301540,74943,68268,,
tmp18-7-runWorkloadC-2-ycsb-300KDB.ckpt_9_txn390000.ckpt.22297,confidencemetrics,5456750,983186,507409,1119596,11273283,302142,75600,68798,,
tmp18-7-runWorkloadD-2-ycsb-300KDB.ckpt_0_txn600000.ckpt.22297,confidencemetrics,5610631,986988,499563,1091293,11118554,301623,74916,67848,,
tmp18-7-runWorkloadD-2-ycsb-300KDB.ckpt_12_txn720000.ckpt.22297,confidencemetrics,5661337,993493,499864,1084961,11099785,299192,74863,65927,,
tmp18-7-runWorkloadD-2-ycsb-300KDB.ckpt_19_txn790000.ckpt.22297,confidencemetrics,5524932,958450,481332,1081927,11292731,299438,73601,66144,,
tmp18-7-runWorkloadD-2-ycsb-300KDB.ckpt_4_txn640000.ckpt.22297,confidencemetrics,5626407,992344,499039,1096293,11121866,299577,75306,66604,,
tmp18-7-runWorkloadE-2-ycsb-300KDB.ckpt_2_txn170000.ckpt.22297,confidencemetrics,6035256,914700,403691,1297719,10655558,257674,47457,60397,,
tmp18-7-runWorkloadE-2-ycsb-300KDB.ckpt_8_txn230000.ckpt.22297,confidencemetrics,4696233,671715,363047,4375373,8610152,144811,32125,54453,,
tmp18-7-runWorkloadF-2-ycsb-300KDB.ckpt_0_txn300000.ckpt.22297,confidencemetrics,5441130,964046,489265,1157420,11376484,296421,72805,67402,,
tmp18-7-runWorkloadF-2-ycsb-300KDB.ckpt_12_txn420000.ckpt.22297,confidencemetrics,5482990,972474,496920,1095523,11383283,305690,78640,72816,,
tmp18-7-runWorkloadF-2-ycsb-300KDB.ckpt_19_txn490000.ckpt.22297,confidencemetrics,5240401,961780,539674,2278408,10388221,257296,65396,76433,,
tmp18-7-runWorkloadF-2-ycsb-300KDB.ckpt_8_txn380000.ckpt.22297,confidencemetrics,5312238,936590,479837,1153381,11665391,314942,78343,73153,,
tmpoltp_delete_2C_10_query150000.ckpt.29938,confidencemetrics,2468882,485285,205157,1105794,21672047,468197,44425,42536,,
